statement national reference no: 924566, date: 30.06.2017, salesperiode: 01.06.2017-30.06.2017

article no;artist / title;stock begin / end;arrivals dispatch;domestic qty/dealer/net(aver.);amount domestic;export qty;returns domestic qty/dealer/domestic net(aver.);amount returns domestic;f.o.c dom.;total amount
CD 05039;4250137250397;Owls of the Swamp;Meteorite EP;How Long Have I Been Sleeping?;Spotify;GR;1;0,002;0,001;0,001
CD 05039;4250137250397;Owls of the Swamp;Meteorite EP;Meteorite;Spotify;DE;1;0,005;0,004;0,004
CD 05039;4250137250397;Owls of the Swamp;Meteorite EP;Start All Over;Spotify;ES;1;0,002;0,002;0,002
CD 05039;4250137250397;Owls of the Swamp;Meteorite EP;How Long Have I Been Sleeping?;Spotify;CH;1;0,004;0,003;0,003
CD 05039;4250137250397;Owls of the Swamp;Meteorite EP;I Found You;Spotify;FI;2;0,006;0,005;0,010
CD 05039;4250137250397;Owls of the Swamp;Meteorite EP;Skipping Stones;Spotify;FI;1;0,006;0,005;0,005
CD 05039;4250137250397;Owls of the Swamp;Meteorite EP;How Long Have I Been Sleeping?;Spotify;PL;1;0,001;0,001;0,001
CD 05039;4250137250397;Owls of the Swamp;Meteorite EP;Meteorite;Spotify;FI;1;0,006;0,005;0,005
CD 05039;4250137250397;Owls of the Swamp;Meteorite EP;Start All Over;Spotify;FR;1;0,000;0,000;0,000
CD 05039;4250137250397;Owls of the Swamp;Meteorite EP;How Long Have I Been Sleeping?;Spotify;DE;2;0,005;0,004;0,008
CD 05039;4250137250397;Owls of the Swamp;Meteorite EP;I Found You;Spotify;US;3;0,003;0,003;0,008
CD 05039;4250137250397;Owls of the Swamp;Meteorite EP;Skipping Stones;Spotify;US;6;0,003;0,003;0,016
CD 05039;4250137250397;Owls of the Swamp;Meteorite EP;How Long Have I Been Sleeping?;Google Subscription;AU;4;0,006;0,005;0,020
CD 05039;4250137250397;Owls of the Swamp;Meteorite EP;I Found You;Google Subscription;AU;4;0,006;0,005;0,020
CD 05039;4250137250397;Owls of the Swamp;Meteorite EP;Meteorite;Spotify;US;5;0,004;0,003;0,015
CD 05039;4250137250397;Owls of the Swamp;Meteorite EP;How Long Have I Been Sleeping?;Spotify;FI;1;0,006;0,005;0,005
CD 05039;4250137250397;Owls of the Swamp;Meteorite EP;I Found You;YouTube;US;4;0,000;0,000;0,000
CD 05039;4250137250397;Owls of the Swamp;Meteorite EP;Start All Over;Google Subscription;AU;4;0,006;0,005;0,020
CD 05039;4250137250397;Owls of the Swamp;Meteorite EP;How Long Have I Been Sleeping?;Spotify;AU;1;0,005;0,004;0,004
CD 05039;4250137250397;Owls of the Swamp;Meteorite EP;I Found You;Spotify;BR;1;0,002;0,001;0,001
CD 05039;4250137250397;Owls of the Swamp;Meteorite EP;Skipping Stones;Spotify;AU;1;0,005;0,004;0,004
CD 05039;4250137250397;Owls of the Swamp;Meteorite EP;How Long Have I Been Sleeping?;Spotify;GB;2;0,004;0,003;0,006
CD 05039;4250137250397;Owls of the Swamp;Meteorite EP;Meteorite;Spotify;AU;2;0,005;0,004;0,009
CD 05039;4250137250397;Owls of the Swamp;Meteorite EP;Start All Over;Spotify;DE;2;0,005;0,004;0,008
CD 05039;4250137250397;Owls of the Swamp;Meteorite EP;How Long Have I Been Sleeping?;Spotify;CA;2;0,004;0,003;0,006
CD 05039;4250137250397;Owls of the Swamp;Meteorite EP;I Found You;Spotify;ES;1;0,002;0,002;0,002
CD 05039;4250137250397;Owls of the Swamp;Meteorite EP;Skipping Stones;Spotify;DK;3;0,000;0,000;0,001
CD 05039;4250137250397;Owls of the Swamp;Meteorite EP;How Long Have I Been Sleeping?;Spotify;NO;1;0,006;0,005;0,005
CD 05039;4250137250397;Owls of the Swamp;Meteorite EP;Meteorite;Spotify;DK;2;0,000;0,000;0,000
CD 05039;4250137250397;Owls of the Swamp;Meteorite EP;Start All Over;Spotify;FI;1;0,006;0,005;0,005
CD 06251;4250137262512;Kid Decker;Reveries EP;Memories And Plans;Apple Music;DE;1;0,009;0,007;0,007
CD 06251;4250137262512;Kid Decker;Reveries EP;Dead Man¦s Walk (Homekid Version);Apple Music;DE;1;0,009;0,007;0,007
CD 06251;4250137262512;Kid Decker;Reveries EP;Reveries;Apple Music;DE;3;0,009;0,007;0,021
CD 06252;4250137262529;Ian Hooper;Melodica Compilation #1 ;Come My Way;Deezer;FR;6;0,004;0,003;0,018
CD 06252;4250137262529;Various Artists;Melodica Compilation #1 ;The Question;Apple Music;AU;3;0,002;0,001;0,004
CD 06252;4250137262529;Myrra Ros;Melodica Compilation #1 ;Morse Codes;Apple Music;CH;1;0,014;0,011;0,011
