statement national reference no: 924783, date: 31.07.2017, salesperiode: 01.07.2017-31.07.2017

article no;artist / title;stock begin / end;arrivals dispatch;domestic qty/dealer/net(aver.);amount domestic;export qty;returns domestic qty/dealer/domestic net(aver.);amount returns domestic;f.o.c dom.;total amount
CD 06263;4250137262635;Our Blanket Skies;Melodica Compilation #2;Black-Eyed Angel;Spotify;IT;2;0,005;0,004;0,009
CD 06263;4250137262635;Jona Byron;Melodica Compilation #2;Dead Horse;Spotify;IT;2;0,005;0,004;0,009
CD 06263;4250137262635;Owls Of The Swamp;Melodica Compilation #2;Water Song (feat, ITC);Spotify;IT;2;0,003;0,002;0,005
CD 06263;4250137262635;L,F, Singer;Melodica Compilation #2;Last Dropout of Beauty School;Spotify;GB;1;0,001;0,001;0,001
CD 06263;4250137262635;Phia;Melodica Compilation #2;Jennifer;Spotify;GB;1;0,001;0,001;0,001
CD 06263;4250137262635;Lâˆ™isa;Melodica Compilation #2;Springrainair;Spotify;GB;3;0,001;0,001;0,002
CD 06263;4250137262635;Town Of Saints;Melodica Compilation #2;Start Something;Spotify;DE;19;0,003;0,002;0,044
CD 06263;4250137262635;Mighty Oaks;Melodica Compilation #2;When I Dream I See;Apple Music;FR;1;0,007;0,005;0,005
CD 06263;4250137262635;Mighty Oaks;Melodica Compilation #2;When I Dream I See;Deezer;NL;1;0,009;0,007;0,007
CD 06263;4250137262635;Mighty Oaks;Melodica Compilation #2;When I Dream I See;Spotify;DE;394;0,002;0,002;0,611
CD 06263;4250137262635;Halla Norâ‰¡fjörâ‰¡;Melodica Compilation #2;Maybe;Spotify;DK;5;0,004;0,003;0,015
CD 06263;4250137262635;Mighty Oaks;Melodica Compilation #2;When I Dream I See;Spotify;PT;6;0,001;0,001;0,006
CD 06263;4250137262635;Hello Piedpiper;Melodica Compilation #2;The Poet;Apple Music;PL;1;0,005;0,004;0,004
CD 06263;4250137262635;Mijo Biscan;Melodica Compilation #2;Trapped Fox (Live at Melodica Berlin 2010);Spotify;AR;1;0,003;0,002;0,002
CD 06263;4250137262635;Hello Piedpiper;Melodica Compilation #2;The Poet;Spotify;PH;1;0,000;0,000;0,000
CD 06263;4250137262635;Mijo Biscan;Melodica Compilation #2;Trapped Fox (Live at Melodica Berlin 2010);Spotify;IT;1;0,005;0,004;0,004
CD 06263;4250137262635;Il Tempo Gigante;Melodica Compilation #2;Lost Something Good;Deezer;DE;2;0,003;0,003;0,005
CD 06263;4250137262635;Njord;Melodica Compilation #2;Seldom Seen Sister;Spotify;ES;2;0,001;0,001;0,002
CD 06263;4250137262635;Il Tempo Gigante;Melodica Compilation #2;Lost Something Good;Spotify;MX;3;0,001;0,001;0,002
CD 06263;4250137262635;Our Blanket Skies;Melodica Compilation #2;Black-Eyed Angel;Spotify;AR;1;0,003;0,002;0,002
CD 06263;4250137262635;Jona Byron;Melodica Compilation #2;Dead Horse;Spotify;CA;2;0,002;0,002;0,003
CD 06263;4250137262635;Owls Of The Swamp;Melodica Compilation #2;Water Song (feat, ITC);Google Play Scan;US;1;0,000;0,000;0,000
CD 06263;4250137262635;L,F, Singer;Melodica Compilation #2;Last Dropout of Beauty School;Deezer;FR;1;0,006;0,005;0,005
CD 06263;4250137262635;Phia;Melodica Compilation #2;Jennifer;Apple Music;US;3;0,006;0,005;0,016
CD 06263;4250137262635;Lâˆ™isa;Melodica Compilation #2;Springrainair;Rhapsody / Napster;DE;6;0,008;0,006;0,037
CD 06263;4250137262635;Town Of Saints;Melodica Compilation #2;Start Something;Deezer;DE;2;0,003;0,002;0,005
CD 06263;4250137262635;Mighty Oaks;Melodica Compilation #2;When I Dream I See;Amazon Music Unlimited;DE;2;0,010;0,008;0,016
CD 06263;4250137262635;Town Of Saints;Melodica Compilation #2;Start Something;TIDAL;CH;2;0,019;0,015;0,030
CD 06263;4250137262635;Mighty Oaks;Melodica Compilation #2;When I Dream I See;Deezer;BE;1;0,004;0,003;0,003
CD 06263;4250137262635;Mighty Oaks;Melodica Compilation #2;When I Dream I See;Spotify;AT;60;0,001;0,001;0,043
CD 06263;4250137262635;Halla Norâ‰¡fjörâ‰¡;Melodica Compilation #2;Maybe;Rhapsody / Napster;DE;3;0,008;0,006;0,018
CD 06263;4250137262635;Mighty Oaks;Melodica Compilation #2;When I Dream I See;Spotify;LU;1;0,006;0,005;0,005
CD 06263;4250137262635;Halla Norâ‰¡fjörâ‰¡;Melodica Compilation #2;Maybe;Spotify;TR;1;0,001;0,001;0,001
CD 06263;4250137262635;Mighty Oaks;Melodica Compilation #2;When I Dream I See;TIDAL;US;2;0,014;0,011;0,023
CD 06263;4250137262635;Hello Piedpiper;Melodica Compilation #2;The Poet;Spotify;DE;141;0,003;0,002;0,322
CD 06263;4250137262635;Hello Piedpiper;Melodica Compilation #2;The Poet;Spotify;US;5;0,003;0,003;0,013
CD 06263;4250137262635;Njord;Melodica Compilation #2;Seldom Seen Sister;Deezer;SE;2;0,024;0,019;0,038
CD 06263;4250137262635;Il Tempo Gigante;Melodica Compilation #2;Lost Something Good;Spotify;DE;47;0,003;0,002;0,115
CD 06263;4250137262635;Njord;Melodica Compilation #2;Seldom Seen Sister;TIDAL;PL;1;0,003;0,003;0,003
CD 06263;4250137262635;Jona Byron;Melodica Compilation #2;Dead Horse;Apple Music;US;1;0,006;0,005;0,005
CD 06263;4250137262635;Our Blanket Skies;Melodica Compilation #2;Black-Eyed Angel;Spotify;US;1;0,005;0,004;0,004
CD 06263;4250137262635;Jona Byron;Melodica Compilation #2;Dead Horse;Spotify;PE;1;0,000;0,000;0,000
